sku,tp,final_mrp_old,margin
Os207_3145_2XL,538.00,2295.00,1757.00
Os207_3145_3XL,538.00,2295.00,1757.00
Os202_3146_S,538.00,2295.00,1757.00
Os202_3146_M,538.00,2295.00,1757.00
Os202_3146_L,538.00,2295.00,1757.00
Os202_3146_XL,538.00,2295.00,1757.00
Os202_3146_2XL,538.00,2295.00,1757.00
Os202_3146_3XL,538.00,2295.00,1757.00
Os186_1377_S,538.00,2295.00,1757.00
Os186_1377_M,538.00,2295.00,1757.00
Os186_1377_L,538.00,2295.00,1757.00
Os186_1377_XL,538.00,2295.00,1757.00
Os186_1377_2XL,538.00,2295.00,1757.00
Os186_1377_3XL,538.00,2295.00,1757.00
Os196_1371_S,538.00,2295.00,1757.00
Os196_1371_M,538.00,2295.00,1757.00
Os196_1371_L,538.00,2295.00,1757.00
Os196_1371_XL,538.00,2295.00,1757.00
Os196_1371_2XL,538.00,2295.00,1757.00
Os196_1371_3XL,538.00,2295.00,1757.00
Os190_1128_S,570.00,2295.00,1725.00
Os190_1128_M,570.00,2295.00,1725.00
Os190_1128_L,570.00,2295.00,1725.00
Os190_1128_XL,570.00,2295.00,1725.00
Os190_1128_2XL,570.00,2295.00,1725.00
Os190_1128_3XL,570.00,2295.00,1725.00
Os192_1124_S,570.00,2295.00,1725.00
Os192_1124_M,570.00,2295.00,1725.00
Os192_1124_L,570.00,2295.00,1725.00
Os192_1124_XL,570.00,2295.00,1725.00
Os192_1124_2XL,570.00,2295.00,1725.00
Os192_1124_3XL,570.00,2295.00,1725.00
Os172_1092_S,570.00,2295.00,1725.00
Os172_1092_M,570.00,2295.00,1725.00
Os172_1092_L,570.00,2295.00,1725.00
Os172_1092_XL,570.00,2295.00,1725.00
Os172_1092_2XL,570.00,2295.00,1725.00
Os172_1092_3XL,570.00,2295.00,1725.00
Os192_1124_XS,570.00,2295.00,1725.00
Os290KR_S,400.00,2097.00,1697.00
Os290KR_M,400.00,2097.00,1697.00
Os290KR_L,400.00,2097.00,1697.00
Os290KR_XL,400.00,2097.00,1697.00
Os290KR_2XL,400.00,2097.00,1697.00
Os290KR_3XL,400.00,2097.00,1697.00
Os218_3151_S,505.00,2195.00,1690.00
Os218_3151_M,505.00,2195.00,1690.00
Os218_3151_L,505.00,2195.00,1690.00
Os218_3151_XL,505.00,2195.00,1690.00
Os218_3151_2XL,505.00,2195.00,1690.00
Os218_3151_3XL,505.00,2195.00,1690.00
Os201_3152_S,505.00,2195.00,1690.00
Os201_3152_M,505.00,2195.00,1690.00
Os201_3152_L,505.00,2195.00,1690.00
Os201_3152_XL,505.00,2195.00,1690.00
Os201_3152_2XL,505.00,2195.00,1690.00
Os201_3152_3XL,505.00,2195.00,1690.00
Os175_3153_S,505.00,2195.00,1690.00
Os175_3153_M,505.00,2195.00,1690.00
Os175_3153_L,505.00,2195.00,1690.00
Os175_3153_XL,505.00,2195.00,1690.00
Os175_3153_2XL,505.00,2195.00,1690.00
Os175_3153_3XL,505.00,2195.00,1690.00
Os220_3154_S,505.00,2195.00,1690.00
Os220_3154_M,505.00,2195.00,1690.00
Os220_3154_L,505.00,2195.00,1690.00
Os220_3154_XL,505.00,2195.00,1690.00
Os220_3154_2XL,505.00,2195.00,1690.00
Os220_3154_3XL,505.00,2195.00,1690.00
Os174_3155_S,505.00,2195.00,1690.00
Os174_3155_M,505.00,2195.00,1690.00
Os174_3155_L,505.00,2195.00,1690.00
Os174_3155_XL,505.00,2195.00,1690.00
Os174_3155_2XL,505.00,2195.00,1690.00
Os174_3155_3XL,505.00,2195.00,1690.00
Os222_3156_S,505.00,2195.00,1690.00
Os222_3156_M,505.00,2195.00,1690.00
Os222_3156_L,505.00,2195.00,1690.00
Os222_3156_XL,505.00,2195.00,1690.00
Os222_3156_2XL,505.00,2195.00,1690.00
Os222_3156_3XL,505.00,2195.00,1690.00
Os294KR_S,410.00,2095.00,1685.00
Os294KR_M,410.00,2095.00,1685.00
Os294KR_L,410.00,2095.00,1685.00
Os294KR_XL,410.00,2095.00,1685.00
Os294KR_2XL,410.00,2095.00,1685.00
Os294KR_3XL,410.00,2095.00,1685.00
Os309_S,415.00,2097.00,1682.00
Os309_M,415.00,2097.00,1682.00
Os309_L,415.00,2097.00,1682.00
Os309_XL,415.00,2097.00,1682.00
Os309_2XL,415.00,2097.00,1682.00
Os309_3XL,415.00,2097.00,1682.00
Os303_S,415.00,2097.00,1682.00
Os303_M,415.00,2097.00,1682.00
Os303_L,415.00,2097.00,1682.00
Os303_XL,415.00,2097.00,1682.00
Os303_2XL,415.00,2097.00,1682.00
Os303_3XL,415.00,2097.00,1682.00
Os282KR_S,415.00,2095.00,1680.00
