sku,amazon_mrp,flipkart_mrp,myntra_mrp,price_gap
Os235_1112_XL,3995.00,3995.00,3995.00,0.00
Os235_1112_2XL,3995.00,3995.00,3995.00,0.00
Os235_1112_3XL,3995.00,3995.00,3995.00,0.00
Os233_1058_S,3995.00,3995.00,3995.00,0.00
Os233_1058_M,3995.00,3995.00,3995.00,0.00
Os233_1058_L,3995.00,3995.00,3995.00,0.00
Os233_1058_XL,3995.00,3995.00,3995.00,0.00
Os233_1058_2XL,3995.00,3995.00,3995.00,0.00
Os233_1058_3XL,3995.00,3995.00,3995.00,0.00
Os179_1116_S,2395.00,2395.00,2395.00,0.00
Os179_1116_M,2395.00,2395.00,2395.00,0.00
Os179_1116_L,2395.00,2395.00,2395.00,0.00
Os179_1116_XL,2395.00,2395.00,2395.00,0.00
Os179_1116_2XL,2395.00,2395.00,2395.00,0.00
Os179_1116_3XL,2395.00,2395.00,2395.00,0.00
Os210_3137_S,2195.00,2195.00,2195.00,0.00
Os210_3137_M,2195.00,2195.00,2195.00,0.00
Os210_3137_L,2195.00,2195.00,2195.00,0.00
Os210_3137_XL,2195.00,2195.00,2195.00,0.00
Os210_3137_2XL,2195.00,2195.00,2195.00,0.00
Os210_3137_3XL,2195.00,2195.00,2195.00,0.00
Os177_1057_S,2995.00,2995.00,2995.00,0.00
Os177_1057_M,2995.00,2995.00,2995.00,0.00
Os177_1057_L,2995.00,2995.00,2995.00,0.00
Os177_1057_XL,2995.00,2995.00,2995.00,0.00
Os177_1057_2XL,2995.00,2995.00,2995.00,0.00
Os177_1057_3XL,2995.00,2995.00,2995.00,0.00
Os180_3134_S,2195.00,2195.00,2195.00,0.00
Os180_3134_M,2195.00,2195.00,2195.00,0.00
Os180_3134_L,2195.00,2195.00,2195.00,0.00
Os180_3134_XL,2195.00,2195.00,2195.00,0.00
Os180_3134_2XL,2195.00,2195.00,2195.00,0.00
Os180_3134_3XL,2195.00,2195.00,2195.00,0.00
Os178_1115_S,2495.00,2495.00,2495.00,0.00
Os178_1115_M,2495.00,2495.00,2495.00,0.00
Os178_1115_L,2495.00,2495.00,2495.00,0.00
Os178_1115_XL,2495.00,2495.00,2495.00,0.00
Os178_1115_2XL,2495.00,2495.00,2495.00,0.00
Os178_1115_3XL,2495.00,2495.00,2495.00,0.00
Os211_3011_S,1995.00,1995.00,1995.00,0.00
Os211_3011_M,1995.00,1995.00,1995.00,0.00
Os211_3011_L,1995.00,1995.00,1995.00,0.00
Os211_3011_XL,1995.00,1995.00,1995.00,0.00
Os211_3011_2XL,1995.00,1995.00,1995.00,0.00
Os211_3011_3XL,1995.00,1995.00,1995.00,0.00
Os171_1096_S,2395.00,2395.00,2395.00,0.00
Os171_1096_M,2395.00,2395.00,2395.00,0.00
Os171_1096_L,2395.00,2395.00,2395.00,0.00
Os171_1096_XL,2395.00,2395.00,2395.00,0.00
Os171_1096_2XL,2395.00,2395.00,2395.00,0.00
Os171_1096_3XL,2395.00,2395.00,2395.00,0.00
Os184_1127_S,2295.00,2295.00,2295.00,0.00
Os184_1127_M,2295.00,2295.00,2295.00,0.00
